title,price,image,link
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71074WS...,"₹41,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/7/q/-original-imahehnhwehhffc4.jpeg?q=70,https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-p1503cva-s71074ws-thin-light-laptop/p/itmf84b442d31b6b?pid=COMH8Z2QENXVKHGX&lid=LSTCOMH8Z2QENXVKHGXT2JJBZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=a62f89f1-bbd0-4d3c-9618-f6ead60d7a74.COMH8Z2QENXVKHGX.SEARCH&ppt=None&ppn=None&ssid=v6959kkvgw0000001768146952537&qH=c06ea84a1e3dc3c6
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,"₹35,490",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/o/u/-original-imahg5fxhyfzpqwy.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15acl6-15alc7-2-thin-light-laptop/p/itm3680fb576eb7b?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=a62f89f1-bbd0-4d3c-9618-f6ead60d7a74.COMG9VHHF6HVJPP9.SEARCH&ppt=None&ppn=None&ssid=v6959kkvgw0000001768146952537&qH=c06ea84a1e3dc3c6
HP AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0690AU Thin and Light Laptop,"₹44,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/o/d/-original-imahg5fxrynh3hnw.jpeg?q=70,https://www.flipkart.com/hp-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-15-fc0690au-thin-light-laptop/p/itma0fa438e7d192?pid=COMH4N76ZS7U93JE&lid=LSTCOMH4N76ZS7U93JEON3TMR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=a62f89f1-bbd0-4d3c-9618-f6ead60d7a74.COMH4N76ZS7U93JE.SEARCH&ppt=None&ppn=None&ssid=v6959kkvgw0000001768146952537&qH=c06ea84a1e3dc3c6
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,"₹39,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/c/z/-original-imahg5fusry5atvm.jpeg?q=70,https://www.flipkart.com/acer-aspire-15-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-as15-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397XW36HUXB8&lid=LSTCOMH397XW36HUXB8LCSOPU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=a62f89f1-bbd0-4d3c-9618-f6ead60d7a74.COMH397XW36HUXB8.SEARCH&ppt=None&ppn=None&ssid=v6959kkvgw0000001768146952537&qH=c06ea84a1e3dc3c6
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹32,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/y/o/-original-imahg5fxjta7gns7.jpeg?q=70,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj130ws-e1504fa-bq2322ws-thin-light-laptop/p/itm9af4f3b5de2ff?pid=COMH94992SQ8HYGZ&lid=LSTCOMH94992SQ8HYGZI7SK3K&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=a62f89f1-bbd0-4d3c-9618-f6ead60d7a74.COMH94992SQ8HYGZ.SEARCH&ppt=None&ppn=None&ssid=v6959kkvgw0000001768146952537&qH=c06ea84a1e3dc3c6
Acer Aspire 3 Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Ligh...,"₹28,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/7/0/-original-imahg5fwjq9tnnhy.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-12-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCAB5ANZ55&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=a62f89f1-bbd0-4d3c-9618-f6ead60d7a74.COMHFZYZFVD2MCAB.SEARCH&ppt=None&ppn=None&ssid=v6959kkvgw0000001768146952537&qH=c06ea84a1e3dc3c6
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 H...","₹39,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/k/g/-original-imahg5fyefftefqt.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-x1504va-nj2325ws-x1504va-bq342ws-thin-light-laptop/p/itmb44a032e58491?pid=COMH9499CDEZTNHX&lid=LSTCOMH9499CDEZTNHXMW7ATK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=a62f89f1-bbd0-4d3c-9618-f6ead60d7a74.COMH9499CDEZTNHX.SEARCH&ppt=None&ppn=None&ssid=v6959kkvgw0000001768146952537&qH=c06ea84a1e3dc3c6
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹22,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/s/x/-original-imahg5ftu2dzvyu8.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZ8BARKXFF&lid=LSTCOMH7NCZ8BARKXFFG6HSJC&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=a62f89f1-bbd0-4d3c-9618-f6ead60d7a74.COMH7NCZ8BARKXFF.SEARCH&ppt=None&ppn=None&ssid=v6959kkvgw0000001768146952537&qH=c06ea84a1e3dc3c6
DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) OVN353025001RINB1O Thin and ...,"₹40,490",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/w/m/-original-imahgx8whcxfcyhr.jpeg?q=70,https://www.flipkart.com/dell-15-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-ovn353025001rinb1o-thin-light-laptop/p/itmd568ce8657ea2?pid=COMHD99WDJZZMWVN&lid=LSTCOMHD99WDJZZMWVNA8FIUB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=a62f89f1-bbd0-4d3c-9618-f6ead60d7a74.COMHD99WDJZZMWVN.SEARCH&ppt=None&ppn=None&ssid=v6959kkvgw0000001768146952537&qH=c06ea84a1e3dc3c6
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹35,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/u/d/-original-imahfcztzmftpy9u.jpeg?q=70,https://www.flipkart.com/asus-vivobook-14-2025-office-2024-m365-basic-backlit-keyboard-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1404va-eb321ws-thin-light-laptop/p/itm86b2575a66c73?pid=COMHEZZTACFZCGWF&lid=LSTCOMHEZZTACFZCGWFJLHWXA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=a62f89f1-bbd0-4d3c-9618-f6ead60d7a74.COMHEZZTACFZCGWF.SEARCH&ppt=None&ppn=None&ssid=v6959kkvgw0000001768146952537&qH=c06ea84a1e3dc3c6
